# Atom1,Atom2,bond order,A1_neighs,A2_neighs,DE,Comment
1,16,1,*,*,360,generic S-H
1,16,1,*,1_1.0 1_1.0,381,hydrogen sulfide
1,15,1,*,*,322,generic P-H
1,15,1,*,1_1.0 1_1.0 1_1.0,351,PH3
1,9,1,*,*,564,F-H
1,8,1,*,*,440,generic O-H
1,8,1,*,1_1.0 1_1.0,498.7,water
1,8,1,*,8_1.0,370,peroxide
1,8,1,*,7_1.0,370,oxygen bound to nitrogen
1,7,1,*,*,391,generic N-H
1,7,1,*,1_1.0 1_1.0 1_1.0,435,Ammonia
1,7,1,*,8_2.0,200,nitroxyl
1,6,1,*,*,400,generic C-H
1,6,1,*,1_1.0 1_1.0 1_1.0 1_1.0,439.3,Methane
1,6,1,*,1_1.0 1_1.0 1_1.0 6_1.0,421,terminal alkane
1,6,1,*,1_1.0 1_1.0 6_1.0 6_1.0,411,sec alkane
1,6,1,*,1_1.0 6_1.0 6_1.0 6_1.0,400,tert alkane
1,6,1,*, 6_2.0,464,terminal alkene
1,6,1,*,6_3.0,557,alkyne
1,6,1,*,6_1.5 6_1.5,465,benzene
1,6,1,*,8_2.0,371,aldehyde /ketone
1,6,1,*,8_2.0 9_1.0,420,aldeyde/ketone with F
1,6,1,*,8_2.0 8_1.0,404,formic acid
1,6,1,*,8_1.0,390,ether / alchol
1,6,1,*,7_1.0,385,amine
1,6,1,*,7_3.0,528,nitrile
1,6,1,*,16_1.0,392,sulfide
6,6,1,*,*,350,generic C-C
6,6,1,1_1.0 1_1.0 1_1.0,1_1.0 1_1.0 1_1.0,377,ethane
6,6,1,6_1.0 6_1.0  6_1.0,6_1.0 6_1.0  6_1.0,282,branched C-C
6,6,1,*,7_3.0,506,nitrile
6,6,1,7_3.0,7_3.0,603,two nitrile
6,6,1.5,*,*,600,benzene (guess)
6,6,2,*,*,682,generic C=C
6,6,3,*,*,962,generic C-=C
6,7,1,*,*,356,amine
6,7,1.5,*,*,421,amide
6,7,2,*,*,644,imine
6,7,3,*,*,937,nitrile
6,7,1,*,8_1.5 8_1.5,247,nitro
6,8,1,*,*,370,generic C-O
6,8,1,*,1_1.0 6_1.0,385,alcohol
6,8,1,*,6_1.0 6_1.0,351,ether
6,8,1,8_2.0 8_1.0,6_1.0 6_1.0,423,ester
6,8,1,8_2.0 8_1.0,1_1.0 6_1.0,458,acetic acid
6,8,1.5,*,*,600,amide (guess)
6,8,2,*,*,732,aldehyde
6,8,2,8_2.0 8_2.0,*,799,CO2
6,9,1,*,*,460,fluorine
6,16,1,*,*,310,generic C-S
6,17,1,*,*,350,chlorine
6,35,1,*,*,294,bromine
6,53,1,*,*,232,iodine
7,7,1,*,*,297,diamine
7,8,1,*,*,305,NO2
7,8,1.5,*,*,400,NO3-
7,8,2,*,*,514,HN=O
8,8,1,*,*,200,Generic O-O
8,16,2,*,*,551,SO2
8,16,2,*,6_1.0 6_1.0 8_2.0 8_2.0 ,389,DMSO
9,9,1,*,*,157,F-F
15,16,1,*,*,350,Generic P-O
15,16,2,*,*,575,Generic P=O
